r1,Процент одобрения,,,,,,,,,,,,,,,,,,,,,,Динамика
r2,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь
r3,69.0,62.5,64.4,60.9,56.6,55.7,65.9,54.2,54.9,55.1,49.4,48.3,56.1,56.9,61.5,62.4,62.5,61.5,60.3,59.5,59.8,,0.3
r4,,,,,,,,,,,,,,,,,,,,,,,0
r5,Процент отказа,,,,,,,,,,,,,,,,,,,,,,0
r6,Март,Апрель,Май,Июнь,Июль,Август,,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r7,18.0,26.6,25.3,19.9,22.3,18.3,13.5,14.0,15.8,22.6,22.4,26.6,23.8,24.4,22.9,21.7,21.7,22.0,23.7,24.3,24.5,,0.2
r8,,,,,,,,,,,,,,,,,,,,,,,0
r9,,,,,,,,,,,,,,,,,,,,,,,0
r10,Процент одобрения по регионам,,,,,,,,,,,,,,,,,,,,,,0
r11,,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r12,Москва,77.5,79.7,74.8,73.6,71.0,70.8,58.3,57.8,61.1,58.4,54.8,64.6,65.7,69.3,67.3,67.8,68.5,64.3,64.6,65.9,,1.3,мск
r13,Санкт-Петербург,76.6,75.7,68.0,68.5,69.8,70.4,60.2,61.5,67.5,53.8,54.1,63.4,66.3,68.2,72.4,73.3,66.5,69.5,66.5,69.0,,2.5,спб
r14,Регионы,52.0,53.4,49.4,47.3,48.1,56.8,47.2,49.1,48.1,42.3,42.8,49.4,50.2,56.5,57.5,57.0,55.2,54.6,54.2,53.6,,-0.6,регионы
r15,,,,,,,,,,,,,,,,,,,,,,,0
r16,,,,,,,,,,,,,,,,,,,,,,,0
r17,Скорость одобрения в часах,,,,,,,,,,,,,,,,,,,,,,0
r18,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r19,13.5,16.3,45309.0,18.9,11.3,3.9,3.6,20.7,24.3,9.8,20.1,15.7,3.2,2.3,2.5,2.6,2.9,4.1,3.9,4.5,5.8,,1.3
r20,,,,,,,,,,,,,,,,,,,,,,,0
r21,Доходы заемщиков,,,,,,,,,,,,,,,,,,,,,,0
r22,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r23,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,0-49к,,,#VALUE!
r24,2.6,12.5,14.4,3.8,5.9,5.1,3.7,3.9,3.9,3.9,3.6,3.9,3.4,3.0,2.5,2.2,2.0,2.0,1.6,1.8,1.5,,-0.3
r25,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,50-99к,,,#VALUE!
r26,21.0,0.268,29.5,21.1,23.3,23.3,18.7,19.9,19.2,18.3,17.7,17.2,17.0,16.3,15.7,14.9,15.2,13.9,13.7,13.3,12.8,,-0.5
r27,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,100-149к,,,#VALUE!
r28,23.8,16.7,17.0,22.8,20.3,20.3,21.5,21.7,19.6,20.8,20.6,18.6,19.9,21.0,20.8,22.5,21.2,19.9,19.9,20.4,20.1,,-0.3
r29,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,150-199к,,,#VALUE!
r30,18.2,10.0,10.3,17.0,15.8,15.3,17.5,17.6,17.7,18.0,17.8,17.0,19.0,18.2,19.5,19.6,19.8,18.8,18.8,18.3,19.7,,1.4
r31,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,200-249к,,,#VALUE!
r32,9.7,5.2,5.0,9.9,8.7,9.9,11.0,10.0,10.8,11.1,11.3,12.1,12.0,11.5,12.3,12.2,11.9,11.8,11.5,12.8,12.4,,-0.4
r33,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,250-500к,,,#VALUE!
r34,17.1,9.0,8.7,17.7,17.7,17.4,18.9,18.6,19.8,19.6,20.9,22.1,19.9,20.7,20.7,19.9,20.4,23.4,23.3,23.0,23.0,,0
r35,,,,,,,,,,,,,,,,,500к+,500к+,500к+,500к+,,,#VALUE!
r36,,,,,,,,,,,,,,,8.2,8.5,9.3,10.0,10.9,10.2,10.3,,0.1
r37,Топ-10 сфер по отраслевой принадлежности заемщика,,,,,,,,,,,,,,,,,,,,,,0
r38,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r39,Оптовая/Розничная торговля,,,,,,,,,,,,,,,Оптовая/Розничная торговля,,,,,,,0
r40,21.5,20.7,20.5,20.2,18.9,21.7,22.2,23.7,23.1,23.3,23.1,23.3,22.7,23.0,23.5,23.1,23.3,22.5,22.8,22.7,22.6,,-0.1
r41,IT-сфера,,,,,,,,,,,,,,,IT-сфера,,,,,,,0
r42,9.6,6.5,5.9,7.0,13.4,6.5,5.5,6.7,7.0,6.4,7.1,7.2,6.8,6.9,7.9,7.4,7.6,7.9,7.9,8.0,7.9,,-0.1
r43,Строительство/производство стройматериалов,,,,,,,,,,,,,,,Строительство/производство стройматериалов,,,,,,,0
r44,8.3,7.5,7.6,7.4,7.2,8.0,9.1,9.3,9.1,9.0,9.5,9.4,9.6,9.6,9.1,9.4,8.9,8.9,9.0,9.4,9.2,,-0.2
r45,Наука и образование,,,,,,,,,,,,,,,Наука и образование,,,,,,,0
r46,6.4,5.0,5.0,5.4,5.0,5.3,5.0,5.7,5.6,5.4,5.6,6.3,5.9,6.1,5.6,6.3,6.6,5.8,6.0,6.1,5.7,,-0.4
r47,Государственное управление,,,,,,,,,,,,,,,Государственное управление,,,,,,,0
r48,5.8,5.1,5.0,4.7,5.0,5.2,5.0,5.5,6.1,6.1,6.5,5.9,6.0,5.4,5.4,5.1,5.7,5.3,5.0,4.9,5.2,,0.3,,,,,
r49,Здравоохранение,,,,,,,,,,,,,,,Здравоохранение,,,,,,,0,,,,,
r50,5.2,4.5,4.7,4.4,4.1,4.0,4.5,4.9,4.6,5.2,4.6,4.4,5.4,5.3,4.9,4.8,5.0,5.2,5.8,5.3,5.0,,-0.3,,,,,
r51,Легкая и пищевая промышленность,,,,,,,,,,,,,,,Легкая и пищевая промышленность,,,,,,,0
r52,4.4,4.9,5.0,5.3,4.9,5.3,5.2,5.5,5.0,5.2,4.9,4.7,5.0,5.6,4.7,5.1,5.2,4.8,4.7,4.6,5.2,,0.6
r53,"Авиа, Авто, Судо- и прочие машиностроения",,,,,,,,,,,,,,,"Авиа, Авто, Судо- и прочие машиностроения",,,,,,,0
r54,4.1,3.7,3.6,3.7,3.6,4.0,4.2,5.0,4.6,5.0,4.9,4.7,5.3,4.6,4.5,4.7,4.6,4.5,4.6,5.2,5.2,,0
r55,Юридические услуги,,,,,,,,,,,,,,,Юридические услуги,,,,,,,0
r56,4.5,3.6,3.5,3.6,3.9,4.3,4.8,5.4,5.5,6.3,5.0,4.9,4.9,5.3,5.4,5.2,5.0,5.3,5.2,4.7,4.8,,0.1
r57,Банки/финансы/лизинг/Страхование,,,,,,,,,,,,,,,Банки/финансы/лизинг/Страхование,,,,,,,0
r58,3.4,3.1,3.0,3.0,3.0,3.1,3.3,3.4,3.9,3.5,3.8,3.7,4.1,4.3,3.6,3.5,4.0,4.1,4.8,4.1,3.9,,-0.2
r59,,,,,,,,,,,,,,,,,,,,,,,0
r60,Зависимость процента одобрения от размера первого взноса,,,,,,,,,,,,,,,,,,,,,,0
r61,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь,Январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,,#VALUE!
r62,ПВ: 10-14%,ПВ: 10-14%,ПВ: 10-14%,ПВ: 10-14%,ПВ: 10-14%,,,,,,,ПВ: 10-14%,,,,,,,,,,,0
r63,33.33,8.33,52.0,50.0,32.3,31.9,-,-,-,36.2,55.5,20.0,-,,,,,,,,,,0
r64,ПВ: 15-19%,ПВ: 15-19%,ПВ: 15-19%,ПВ: 15-19%,ПВ: 15-19%,,,,,,,ПВ: 15-19%,,,,,,,,,,,0
r65,50.86,36.07,40.19,29.53,41.1,45.5,61.0,66.8,59.4,49.8,26.3,15.8,68.7,-,,,,,,,,,0
r66,ПВ: 20-29%,ПВ: 20-29%,ПВ: 20-29%,ПВ: 20-29%,ПВ: 20-29%,,,,,,,ПВ: 20-29%,,,,,,,,ПВ: 20-29%,,,#VALUE!
