r1,Банк,Медиана,Сделок,Ранг,75-% процентиль,95-ый процентиль
r2,ВТБ,0.51,1 886,2.0,0.91,49.35
r3,Альфа-Банк,0.75,2 518,4.0,2.85,33.0
r4,Банк ДОМ.РФ,4.42,451.0,7.0,22.6,98.13
r5,МКБ,15.89,851.0,8.0,28.8,100.01
r6,Совкомбанк,16.98,1 306,9.0,26.72,119.75
r7,Промсвязьбанк,17.5,314.0,10.0,44.49,124.49
r8,Банк «Санкт-Петербург»,21.71,1 106,12.0,47.01,139.91
r9,Металлинвестбанк,23.9,336.0,14.0,48.63,168.06
r10,Абсолют Банк,25.99,346.0,16.0,89.93,183.42
r11,Банк Россия,41.76,317.0,17.0,90.58,169.11
r12,Уралсиб,44.49,550.0,19.0,97.27,238.33
r13,Азиатско-Тихоокеанский Банк,46.43,264.0,20.0,116.36,208.94
r14,СНГБ,46.79,111.0,21.0,116.53,165.99
r15,ВБРР,70.22,121.0,24.0,116.61,236.81
r16,,,,,,
r17,,,,,,
r18,,,,,,
r19,,,,,,
r20,,,,,,
r21,,,,,,
r22,,,,,,
r23,,,,,,
r24,,,,,,
r25,,,,,,
r26,,,,,,
r27,,,,,,
r28,,,,,,
r29,,,,,,
r30,,,,,,
r31,,,,,,
r32,,,,,,
r33,,,,,,
r34,,,,,,
r35,,,,,,
