r1,топ банков
r3,Апрель,,,,Май,,Июнь,,,,,,,,,,,Июль,,Август,,,Сентябрь,,,Октябрь,,,Ноябрь,,,Декабрь,,,Январь,,,февраль,,,март,
r4,ВТБ,0.285,,ВТБ,0.301,,0.209,,ВТБ,,,,,,,,ВТБ,0.234,,ВТБ,0.224,,Альфа-банк,0.211,,ВТБ,0.14,,Альфа-банк,0.149,,Альфа-банк,0.18,,ВТБ,0.249,,ВТБ,0.218,,Альфа-банк,0.184
r5,Альфа-банк,0.106,,Альфа-банк,0.113,,0.115,,Совкомбанк,,,,,,,,ДОМ.РФ,0.139,,Альфа-банк,0.194,,ВТБ,0.14,,Совкомбанк,0.129,,Совкомбанк,0.133,,ВТБ,0.178,,Совкомбанк,0.111,,Совкомбанк,0.135,,ВТБ,0.152
r6,ДОМ.РФ,0.097,,ДОМ.РФ,0.099,,0.113,,Альфа-банк,,,,,,,,Альфа-банк,0.12,,Совкомбанк,0.153,,АК БАРС,0.126,,Альфа-банк,0.108,,ВТБ,0.121,,Совкомбанк,0.153,,Альфа-банк,0.089,,Альфа-банк,0.104,,Совкомбанк,0.158
r7,Совкомбанк,0.09,,Совкомбанк,0.076,,0.11,,ДОМ.РФ,,,,,,,,Совкомбанк,0.079,,Сбербанк,0.086,,Просвязьбанк,0.098,,Абсолют банк,0.074,,Уралсиб,0.077,,Сбербанк,0.078,,Уралсиб,0.079,,Банк Санкт-Петербург,0.069,,Сбербанк,0.078
r8,АК БАРС,0.066,,Промсвязьбанк,0.059,,0.065,,Сбербанк,,,,,,,,Промсвязьбанк,0.064,,Просвязьбанк,0.046,,Совкомбанк,0.083,,Промсвязьбанк,0.069,,Абсолют банк,0.075,,Уралсиб,0.064,,Банк Санкт-Петербург,0.076,,Сбербанк,0.057,,МКБ,0.07
r9,Промсвязьбанк,0.053,,Сбербанк,0.058,,0.056,,Почта банк,,,,,,,,Сбербанк,0.061,,ДОМ.РФ,0.045,,ДОМ.РФ,0.067,,Сбербанк,0.064,,МКБ,0.068,,Промсвязьбанк,0.062,,Сбербанк,0.057,,Азиатско-Тихоокеанский банк,0.052,,Уралсиб,0.06
r10,Сбербанк,0.046,,АК БАРС,0.05,,0.048,,Россельхозбанк,,,,,,,,АК БАРС,0.039,,АК БАРС,0.042,,Металлинвестбанк,0.052,,ДОМ РФ,0.059,,Металлинвестбанк,0.059,,Банк Санкт-Петербург,0.06,,ВБРР,0.042,,Уралсиб,0.051,,Банк Санкт-Петербург,0.051
r11,Металлинвестбанк,0.031,,Почта банк,0.03,,0.034,,Т-банк,,,,,,,,Металлинвестбанк,0.038,,Уралсиб,0.039,,Банк Санкт-Петербург,0.051,,Уралсиб,0.05,,Промсвязьбанк,0.05,,МКБ,0.043,,Металлинвестбанк,0.04,,ДОМ.РФ,0.05,,Т-Банк,0.045
r12,Тинькофф,0.03,,Тинькофф,0.03,,0.033,,Промсвязьбанк,,,,,,,,Почта банк,0.037,,Банк Санкт-Петербург,0.024,,Абсолют банк,0.038,,МКБ,0.04,,ДОМ РФ,0.044,,Т-Банк,0.032,,ДОМ.РФ,0.038,,МКБ,0.044,,ДОМ.РФ,0.04
r13,Абсолют Банк,0.022,,Металлинвестбанк,0.021,,0.031,,МКБ,,,,,,,,Абсолют банк,0.032,,Т-банк,0.023,,Сбербанк,0.031,,Металлинвестбанк,0.039,,Банк Россия,0.043,,ДОМ.РФ,0.032,,Промсвязьбанк,0.038,,Металлинвестбанк,0.042,,Абсолют Банк,0.034
r14,Остальные,0.174,,Остальные,0.163,,0.186,,Остальные,,,,,,,,Остальные,0.157,,Остальные,0.124,,Остальны,0.103,,Остальные,0.228,,Остальные,0.181,,Остальные,0.118,,Остальные,0.181,,Остальные,0.178,,Остальные,0.128
