Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description
Mega menu,mega-menu,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,66c31383659c955e9184ba04,false,false,Mon Aug 19 2024 09:42:27 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:33:41 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
ДВИЖ Day,dvizh-day,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,662cb0137dbcf2b4c7033ca8,false,false,Sat Apr 27 2024 07:58:11 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:34:09 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
движимость'23,dvizhimost23,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65bcd75630360eb3a3bef250,false,false,Fri Feb 02 2024 11:51:50 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:35:10 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),Статьи с конференции ДВИЖИМОСТЬ'23
исследования,issledovaniya,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65c1002dd17abfe8789e85f3,false,false,Mon Feb 05 2024 15:35:09 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:34:36 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
мнение эксперта,ekspert,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65c1000e1879e8725356c4cf,false,false,Mon Feb 05 2024 15:34:38 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:34:55 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
невероятное,neveroyatnoe,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65acaea4ae7bd48d4d71aa2d,false,false,Sun Jan 21 2024 05:41:56 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:37:05 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
о компании,o-kompanii,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,668be1e0ce2f7bf6e9427d59,false,false,Mon Jul 08 2024 12:56:00 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:33:56 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
обновление,obnovlenie,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65acae963915b528a0491793,false,false,Sun Jan 21 2024 05:41:42 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:37:24 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),Новое в ДВИЖе и на рынке
полезное,poleznoe,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65acae882b8fcc1157b92162,false,false,Sun Jan 21 2024 05:41:28 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:37:35 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),"Инструкции, кейсы и лайфхаки для девелоперов"
статистика,statistika,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,65c10039af102be2264dabdc,false,false,Mon Feb 05 2024 15:35:21 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:34:25 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
эксперты,eksperty,65acae67523ec6982be3e580,65ac805b2ac454468c44bf35,66ebe08cd6338a2b3c1523c2,false,false,Thu Sep 19 2024 08:27:56 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 13:33:28 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 15:27:35 GMT+0000 (Coordinated Universal Time),
